actual_tweets,final_sentiment,clean_tweets,positive_count,negative_count
 Rum Special St Barth Conversion Video coming Friday Other specials this month are Love Potion and Pisco ,Positive,rum special barth conversion video coming friday specials month love potion pisco,1,0
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Negative,boonaamohammed syrian refugee family halifax canada died house fire except mom please pray support,2,6
RT CdnPressVideo Dozens of people gathered outside the charred remnants of a suburban Halifax home Tuesday night to mourn the loss of sev ,Negative,cdnpressvideo dozens people gathered outside charred remnants suburban halifax home tuesday night mourn loss,0,3
RT Annavalgal Weekend video Halifax press conference about racist profiling at Parliament Hill ,Negative,annavalgal weekend video halifax press conference racist profiling parliament hill,0,2
RT MississaugaFES Our thoughts go out to the City of Halifax and hfxfire in this difficult time,Negative,mississaugafes city halifax hfxfire difficult time,0,4
RT RhondaBrown5 Status quo so far at Dartmouth High School still on lockdown HfxRegPolice continue to ask the public to stay away from ,Neutral,rhondabrown status quo dartmouth school lockdown hfxregpolice continue public stay,0,0
Subhanallah I just found out the father died as well trying to save his kids The family were refugees from Syria ,Negative,subhanallah found father died trying save kids family refugees syria,0,3
In Halifax Stop by strangeadventrz for your copy of TheGammaGals trade paperback from Fanbase Press Comics ,Negative,halifax stop strangeadventrz copy thegammagals trade paperback fanbase press comics,1,3
Wnd WNW 21 km h Max 59 2 km h at 06 18 Dry T 8 0C Chill 15C H 7 4C L 13 9C Rn24h 0 0 mm DP 17 6C Hum ,Negative,wnd wnw  km max   km   dry  c chill c  c  c rnh   mm dp  c hum,0,3
RT globalhalifax She came down to make milk for the baby and she noticed the fire She called her husband who tried to put it off An ,Negative,globalhalifax milk baby noticed fire called husband tried,1,2
RT dllnspicer Dartmouth High School on lockdown following weapons complaint via torontostar,Negative,dllnspicer dartmouth school lockdown following weapons complaint via torontostar,1,2
RT eBayCanadaBiz Halifax small businesses February 22nd is your last chance to apply for our RetailRevival program 12 months of free ,Negative,ebaycanadabiz halifax businesses february nd chance apply retailrevival program  months free,2,3
Only 2 weeks until our next meeting on Tues March 5 See here for details If you re not ,Negative, weeks meeting tues march  details,0,2
RT thatTaraNolan Niki s latest video has dropped and it s all about seed starting lots of great tips for anyone new to growing edibles ,Positive,thattaranolan niki video dropped seed starting lots tips growing edibles,1,0
This is how much fun these munchkins have eurekamuseum Halifax halfterm LittleHumans ,Neutral,fun munchkins eurekamuseum halifax halfterm littlehumans,2,2
RT VirginRadioHali ErinHopkinsFM WIN ScottHelman tickets He s playin in Halifax March 22nd at TheMarquee Comment on our FB po ,Negative,virginradiohali erinhopkinsfm scotthelman tickets playin halifax march nd themarquee comment fb,0,2
RT sofiacann1 This is how much fun these munchkins have eurekamuseum Halifax halfterm LittleHumans ,Neutral,sofiacann fun munchkins eurekamuseum halifax halfterm littlehumans,2,2
RT CircleLoungeHX1 Rum Special St Barth Conversion Video coming Friday Other specials this month are Love Potion and Pisco Sou ,Positive,circleloungehx rum special barth conversion video coming friday specials month love potion pisco sou,1,0
RT VirginRadioHali ErinHopkinsFM WIN ScottHelman tickets He s playin in Halifax March 22nd at TheMarquee Comment on our FB po ,Negative,virginradiohali erinhopkinsfm scotthelman tickets playin halifax march nd themarquee comment fb,0,2
RT Laker PatHealey Put a Teddy Bear outside on your doorstep in support of the BarhoFamily SpryfieldStrong ElmsdaleStrong Halifax Sp ,Positive,laker pathealey teddy bear outside doorstep support barhofamily spryfieldstrong elmsdalestrong halifax sp,3,2
RT eBayCanadaBiz Halifax small businesses February 22nd is your last chance to apply for our RetailRevival program 12 months of free ,Negative,ebaycanadabiz halifax businesses february nd chance apply retailrevival program  months free,2,3
Is AtlSuperStore eliminating its Express Lanes in the Halifax area So they can cut one more minimum wage job ,Neutral,atlsuperstore eliminating express lanes halifax cut minimum wage job,1,1
RT TorontoStar Financial support is pouring in for the parents who lost their seven children in a devastating house fire on Tuesday http ,Negative,torontostar financial support pouring parents lost seven children devastating house fire tuesday http,1,3
RT CdnPressVideo Dozens of people gathered outside the charred remnants of a suburban Halifax home Tuesday night to mourn the loss of sev ,Negative,cdnpressvideo dozens people gathered outside charred remnants suburban halifax home tuesday night mourn loss,0,3
RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Negative,boonaamohammed syrian refugee family halifax canada died house fire except mom please pray support,2,6
RT beatonna in Halifax a devastating house fire just took the lives of seven children Their father is in critical condition their moth ,Negative,beatonna halifax devastating house fire lives seven children father critical condition moth,0,6
 bruceanderson Goldy didn t drive a semi truck from Red Deer or Halifax to raise awareness of the need for a pipeli ,Neutral,bruceanderson goldy didn drive semi truck deer halifax raise awareness pipeli,1,1
RT ukhtnura Subhanallah I just found out the father died as well trying to save his kids The family were refugees from Syria living in ,Negative,ukhtnura subhanallah found father died trying save kids family refugees syria living,0,3
BREAKING Dartmouth High on lockdown as police investigate weapons complaint Dartmouth Halifax,Negative,breaking dartmouth lockdown police investigate weapons complaint dartmouth halifax,0,5
RT thatTaraNolan Niki s latest video has dropped and it s all about seed starting lots of great tips for anyone new to growing edibles ,Positive,thattaranolan niki video dropped seed starting lots tips growing edibles,1,0
RT ukhtnura Subhanallah I just found out the father died as well trying to save his kids The family were refugees from Syria living in ,Negative,ukhtnura subhanallah found father died trying save kids family refugees syria living,0,3
Software Development Engineer in Test SDET ResMed Halifax Inc Halifax NS Nova Scotia ResMed NYSE RMD is a ,Positive,software development engineer sdet resmed halifax halifax nova scotia resmed nyse rmd,2,1
 Montreal Ottawa Toronto Oshawa Sudbury Halifax Sydney Winnipeg Regina Calgary Saskatoon Edmonton ,Neutral,montreal ottawa toronto oshawa sudbury halifax sydney winnipeg regina calgary saskatoon edmonton,1,1
Update RCMP Halifax police working together following firearms theft from Hantsport home ,Negative,update rcmp halifax police following firearms theft hantsport home,1,2
5pm Halifax Shearwater Weather,Negative,pm halifax shearwater weather,0,1
RT RhondaBrown5 Status quo so far at Dartmouth High School still on lockdown HfxRegPolice continue to ask the public to stay away from ,Neutral,rhondabrown status quo dartmouth school lockdown hfxregpolice continue public stay,0,0
Update RCMP Halifax police working together following firearms theft from Hantsport home ,Negative,update rcmp halifax police following firearms theft hantsport home,1,2
RT CTVAtlantic BREAKING Dartmouth High on lockdown as police investigate weapons complaint Dartmouth Halifax,Negative,ctvatlantic breaking dartmouth lockdown police investigate weapons complaint dartmouth halifax,0,5
Lady Maria TV Aerials Halifax ,Negative,lady maria tv aerials halifax,0,2
RT thatTaraNolan Niki s latest video has dropped and it s all about seed starting lots of great tips for anyone new to growing edibles ,Positive,thattaranolan niki video dropped seed starting lots tips growing edibles,1,0
Cup winners Halifax just beat Liverpool in the FC Cup Final Pro App ,Positive,cup winners halifax beat liverpool fc cup final app,3,1
RT Eraserheader Tomorrow night for all you Halifax business owners that use WordPress You Need A Privacy Policy And vmcntosh can ,Negative,eraserheader tomorrow night halifax business owners wordpress privacy policy vmcntosh,0,3
RT montrealinform Tears flowers at impromptu memorial for Syrian children killed in Halifax fire ,Negative,montrealinform tears flowers impromptu memorial syrian children killed halifax fire,2,4
Game Economy Designer Ubisoft Canadian Studios Halifax NS you will be responsible for implementing systems an ,Neutral,game economy designer ubisoft canadian studios halifax responsible implementing systems,1,1
What a season I just guided Halifax to 2nd place in The Prem Pro App ,Negative,season guided halifax nd prem app,0,1
Ce sentiment de victoire Same again Sunday please Kevin UP THE HALIFAX KevinLarroyer merrick matthew ,Negative,sentiment victoire sunday please kevin halifax kevinlarroyer merrick matthew,1,5
RT MBC NovaScotia Our Paralegal diploma program starts March 25th Are you ready for a career change Train for a rewarding career as a P ,Negative,mbc novascotia paralegal diploma program starts march th career change train rewarding career,2,4
This account hfxcommute is a puppet of a known harasser and abuser of local Halifax area women Beware and block,Negative,account hfxcommute puppet harasser abuser local halifax women beware block,0,5
RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Negative,boonaamohammed syrian refugee family halifax canada died house fire except mom please pray support,2,6
Wow I m gutted I ll be stuck in work in Halifax when all this is happening But I m so glad it is happening ,Neutral,wow gutted stuck halifax happening glad happening,2,2
RT snolen There are moments when you just have to question the workings of the universe and how much pain some individuals are expected t ,Neutral,snolen moments question workings universe pain individuals expected,1,1
RT AndyFillmoreHFX Vigil for the Barho Family taking place at 7pm tonight February 20th at Grand Parade in Halifax Please spread ,Negative,andyfillmorehfx vigil barho family taking pm tonight february th grand parade halifax please spread,2,3
Halifax Muslims Mourn Death of 7 Children in House Fire About Islam ,Negative,halifax muslims mourn death  children house fire islam,0,4
RT CTVAtlantic BREAKING Dartmouth High on lockdown as police investigate weapons complaint Dartmouth Halifax,Negative,ctvatlantic breaking dartmouth lockdown police investigate weapons complaint dartmouth halifax,0,5
RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Negative,boonaamohammed syrian refugee family halifax canada died house fire except mom please pray support,2,6
RT emcsheff There are two fundraisers sanctioned by HEART Society for the Barho family the one on their webpage and the Go Fund Me orga ,Positive,emcsheff fundraisers sanctioned heart society barho family webpage fund orga,1,0
RT RhondaBrown5 Status quo so far at Dartmouth High School still on lockdown HfxRegPolice continue to ask the public to stay away from ,Neutral,rhondabrown status quo dartmouth school lockdown hfxregpolice continue public stay,0,0
Transportation and Road Safety Engineer Halifax Regional Municipality Dartmouth NS Engineer with Transportatio ,Neutral,transportation road safety engineer halifax regional municipality dartmouth engineer transportatio,1,1
i m the better person born in halifax xxx,Negative,person born halifax xxx,0,1
Integrated Service Associate Central Services Workers Compensation Board of Nova Scotia Halifax NS WCB is re ,Negative,integrated service associate central services workers compensation board nova scotia halifax wcb,2,3
RT CTVAtlantic BREAKING Dartmouth High on lockdown as police investigate weapons complaint Dartmouth Halifax,Negative,ctvatlantic breaking dartmouth lockdown police investigate weapons complaint dartmouth halifax,0,5
Halifax calls community gathering to mourn Syrian children killed in fire ,Negative,halifax calls community gathering mourn syrian children killed fire,2,5
RT Jaymokid A selection of my artwork now available at Loafers Vinyl in Halifax wellerwednesday ,Positive,jaymokid selection artwork available loafers vinyl halifax wellerwednesday,3,2
RT LeedsIndieFood Who s ready for the return of the UK s biggest food festival ChowDown is back this summer ThePieceHall Huge thank ,Neutral,leedsindiefood return uk biggest food festival chowdown summer thepiecehall huge thank,2,2
RT WarringtonRLFC1 A look back at this unbelievable try by jonathan davies at thrum hall vs halifax The way he fakes the kick and puts t ,Negative,warringtonrlfc look unbelievable try jonathan davies thrum vs halifax fakes kick,1,5
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
RT CTVAtlantic BREAKING Dartmouth High on lockdown as police investigate weapons complaint Dartmouth Halifax,Negative,ctvatlantic breaking dartmouth lockdown police investigate weapons complaint dartmouth halifax,0,5
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
 Seebo429 Just more proof that Halifax doesn t give a single fuck about cyclists ,Negative,seebo proof halifax doesn single fuck cyclists,0,3
RT TorontoStar Financial support is pouring in for the parents who lost their seven children in a devastating house fire on Tuesday http ,Negative,torontostar financial support pouring parents lost seven children devastating house fire tuesday http,1,3
 jakface mcgee I still can t believe how lucky we were No one had snow tires yet because it just came out of nowhe ,Negative,jakface mcgee believe lucky snow tires,2,3
RT cristylonglegs See my profile on Massage Republic Halifax ,Negative,cristylonglegs profile massage republic halifax,0,3
RT CTVAtlantic BREAKING Dartmouth High on lockdown as police investigate weapons complaint Dartmouth Halifax,Negative,ctvatlantic breaking dartmouth lockdown police investigate weapons complaint dartmouth halifax,0,5
RT ukhtnura Subhanallah I just found out the father died as well trying to save his kids The family were refugees from Syria living in ,Negative,ukhtnura subhanallah found father died trying save kids family refugees syria living,0,3
VFX Artist Ubisoft Canadian Studios Halifax NS is currently seeking a VFX Artist with our studio located in H ,Neutral,vfx artist ubisoft canadian studios halifax currently seeking vfx artist studio located,1,1
RT CTVAtlantic BREAKING Dartmouth High on lockdown as police investigate weapons complaint Dartmouth Halifax,Negative,ctvatlantic breaking dartmouth lockdown police investigate weapons complaint dartmouth halifax,0,5
5pm Mainly Sunny 7 8C Feels 17C 1 4F Wind NW 30km h Gusts to 48km h Baromet ,Positive,pm mainly sunny  c feels c  f wind nw km gusts km baromet,1,0
 ChrisWebby Next Canadian tour PLEASE his Halifax Nobody wants to come to the East Coast man,Negative,chriswebby canadian tour please halifax coast,1,3
RT globalhalifax She came down to make milk for the baby and she noticed the fire She called her husband who tried to put it off An ,Negative,globalhalifax milk baby noticed fire called husband tried,1,2
RT ukhtnura Subhanallah I just found out the father died as well trying to save his kids The family were refugees from Syria living in ,Negative,ukhtnura subhanallah found father died trying save kids family refugees syria living,0,3
 CdnPressVideo CdnPress ,Neutral,cdnpressvideo cdnpress,0,0
RT firebethfox Halifax peeps Are you starting a new business in NovaScotia Have you recently registered a Sole Prop Partnership Got 1 ,Negative,firebethfox halifax peeps starting business novascotia recently registered sole prop partnership ,0,3
Canadian House Fire Kills Syrian Refugee Family s 7 Children ,Negative,canadian house fire kills syrian refugee family  children,0,3
RT Jaymokid A selection of my artwork now available at Loafers Vinyl in Halifax wellerwednesday ,Positive,jaymokid selection artwork available loafers vinyl halifax wellerwednesday,3,2
RT CircleLoungeHX1 Rum Special St Barth Conversion Video coming Friday Other specials this month are Love Potion and Pisco Sou ,Positive,circleloungehx rum special barth conversion video coming friday specials month love potion pisco sou,1,0
Right across from my kids school I picked him up and saw a cop car and thought nothing of it Glad I left when I d ,Positive,kids school picked cop car glad left,1,0
RT beatonna in Halifax a devastating house fire just took the lives of seven children Their father is in critical condition their moth ,Negative,beatonna halifax devastating house fire lives seven children father critical condition moth,0,6
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
 feels,Neutral,feels,0,0
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT haligonia Today is a sad and tragic day after a fatal fire in Halifax A family suffered a terrible tragedy And this is a strong re ,Negative,haligonia sad tragic fatal fire halifax family suffered terrible tragedy strong,1,12
5 12pm 7 Quint Halifax 8 Engine 5 Quint paged for an alarm,Negative, pm  quint halifax  engine  quint paged alarm,0,2
RT Alij mehdi My heart bleeds at the thought of parents feeling the loss of a child I wish they find some peace somehow children ,Negative,alij mehdi heart bleeds parents feeling loss child wish peace somehow children,1,3
RT kabotoss Attention Indigenous Community I m still hiring several great summer internship opportunities in Toronto Halifax and many m ,Neutral,kabotoss attention indigenous community hiring summer internship opportunities toronto halifax,1,1
Studio Manager M F Ubisoft Canadian Studios Halifax NS Studio Manager you will guarantee the development o ,Negative,studio manager ubisoft canadian studios halifax studio manager guarantee development,2,3
So damn tragfic let this sink in ,Negative,damn tragfic sink,0,3
 putoutyourstuffies People urged to leave stuffed animals on porches for 7 victims of Halifax fire CBC News ,Negative,putoutyourstuffies people urged leave stuffed animals porches  victims halifax fire cbc news,0,3
RT Halifax Jobs UK HalifaxJobs LEAD ENGINEER Halifax LEAD ENGINEER 45 54K ROLE Supervising the design team to create contribute to ,Negative,halifax jobs uk halifaxjobs lead engineer halifax lead engineer  k role supervising design team create contribute,2,3
RT stevenzzhou Donate to family from Syria that lost 7 children to a fire in one night Father is in critical condition Halifax https ,Negative,stevenzzhou donate family syria lost  children fire night father critical condition halifax https,0,6
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
Wnd SSE 17 km h Max 59 2 km h at 06 18 Dry T 8 2C Chill 12C H 7 4C L 13 9C Rn24h 0 0 mm DP 17 8C Hum ,Negative,wnd sse  km max   km   dry  c chill c  c  c rnh   mm dp  c hum,0,3
RT alexposadzki Halifax judge appoints two law firms to represent Quadriga creditors via globeandmail ,Negative,alexposadzki halifax judge appoints law firms represent quadriga creditors via globeandmail,0,4
Halifax calls community gathering to mourn Syrian children killed in fire ,Negative,halifax calls community gathering mourn syrian children killed fire,2,5
 First Nations water problems a crisis of Canada s own making SeamusORegan JustinTrudeau CRISIS CatLake ,Negative,nations water crisis canada seamusoregan justintrudeau crisis catlake,0,4
Registered Nurse 6 Link IWK Health Centre Halifax NS nursing assessment and the planning implementation and ,Negative,registered nurse  link iwk health centre halifax nursing assessment planning implementation,1,2
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT MBBerjawi While studying medicine at LebAmUniv I had my medical electives in the hospitals of Halifax Montreal and Toronto ironical ,Negative,mbberjawi studying medicine lebamuniv medical electives hospitals halifax montreal toronto ironical,0,4
RT AlexanderQuon BREAKING Dartmouth High is currently in lockdown Halifax ,Negative,alexanderquon breaking dartmouth currently lockdown halifax,0,3
RT AsiliAnga First Nations water problems a crisis of Canada s own making SeamusORegan JustinTrudeau CRISIS CatLake GardenHillFirs ,Negative,asilianga nations water crisis canada seamusoregan justintrudeau crisis catlake gardenhillfirs,0,4
AMBER PACIFIC HALIFAX AND CITY LIGHTS WENT TO THAT ONE TOO Fuck my life is so boring now,Negative,amber pacific halifax city lights fuck life boring,0,3
RT Laker PatHealey Put a Teddy Bear outside on your doorstep in support of the BarhoFamily SpryfieldStrong ElmsdaleStrong Halifax Sp ,Positive,laker pathealey teddy bear outside doorstep support barhofamily spryfieldstrong elmsdalestrong halifax sp,3,2
RT kabotoss Attention Indigenous Community I m still hiring several great summer internship opportunities in Toronto Halifax and many m ,Neutral,kabotoss attention indigenous community hiring summer internship opportunities toronto halifax,1,1
RT CTVNews Halifax calls community gathering to mourn Syrian children killed in fire ,Negative,ctvnews halifax calls community gathering mourn syrian children killed fire,2,5
RT NEWS957 Two arrested in Halifax after guns stolen from Hantsport home ,Negative,news arrested halifax guns stolen hantsport home,0,3
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT geoffregan Halifax s multiculturalism has been captured beautifully in We Are All One written by youth from different communities ,Positive,geoffregan halifax multiculturalism captured beautifully written youth communities,2,1
Tears flowers at impromptu memorial for Syrian children killed in Halifax fire via CityNews,Negative,tears flowers impromptu memorial syrian children killed halifax fire via citynews,2,4
RT NatashaPace A GoFundMe Page to help with expenses following the tragic deaths of 7 children this morning in Halifax has raised over 5 ,Negative,natashapace gofundme page help expenses following tragic deaths  children morning halifax raised ,2,3
It s been a bad couple days for Halifax holy crap ,Negative,bad couple days halifax holy crap,1,3
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
RT thestarhalifax This is the family impacted by the fatal fire that killed seven children A neighbour said the family included seven ch ,Negative,thestarhalifax family impacted fatal fire killed seven children neighbour family included seven,1,6
Join the Halifax Health team See our latest Nursing job openings including Registered Nurse Emergency Departm ,Negative,join halifax health team nursing job openings including registered nurse emergency departm,1,5
Help if you can Hfxpoli NSpoli NS Halifax,Negative,help hfxpoli nspoli halifax,0,1
RT AndyFillmoreHFX Halifax is hurting from an immeasurable loss of life today following a house fire in Spryfield They arrived as refu ,Negative,andyfillmorehfx halifax hurting immeasurable loss life following house fire spryfield arrived refu,1,6
SMU Reading Series Halifax ,Negative,smu reading series halifax,0,3
RT thatTaraNolan Niki s latest video has dropped and it s all about seed starting lots of great tips for anyone new to growing edibles ,Positive,thattaranolan niki video dropped seed starting lots tips growing edibles,1,0
RT CTVNews Halifax calls community gathering to mourn Syrian children killed in fire ,Negative,ctvnews halifax calls community gathering mourn syrian children killed fire,2,5
imagine losing evrry single one of ur 7 kids in one day,Negative,imagine losing evrry single  kids,0,2
RT CTVNews Halifax calls community gathering to mourn Syrian children killed in fire ,Negative,ctvnews halifax calls community gathering mourn syrian children killed fire,2,5
Is anyone else disturbed at Halifax media tweeting out photos of text conversations between parents and their chil ,Negative,else disturbed halifax media tweeting photos text conversations parents chil,1,3
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
RT RussellFireDept We would like to express our sorrow to all affected by this devastating fire Please take the time to test your smoke ,Negative,russellfiredept express sorrow affected devastating fire please time smoke,1,6
He s a dirty old man like all the ones you drink with in that bar HamOnt editorialcartoon Halifax,Negative,dirty ones drink bar hamont editorialcartoon halifax,0,3
 dianemholmes Halifax Not nice the best ,Neutral,dianemholmes halifax nice,1,1
 Voraz incendio en Halifax provoca la muerte de siete ni os de una familia siria ,Negative,voraz incendio halifax provoca muerte siete una familia siria,0,1
RT CTVNews Halifax calls community gathering to mourn Syrian children killed in fire ,Negative,ctvnews halifax calls community gathering mourn syrian children killed fire,2,5
 TSSLUFC ArcticReviews Mundial78 Pete32639800 dayvid58 Kalvinphillips Big contingent from Halifax area too,Negative,tsslufc arcticreviews mundial pete dayvid kalvinphillips contingent halifax,0,1
Horror siete ni os mueren en el incendio de su casa v a telemundo51,Neutral,horror siete mueren incendio casa telemundo,0,0
RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Negative,boonaamohammed syrian refugee family halifax canada died house fire except mom please pray support,2,6
 AllenHolt1 JacobAWohl realDonaldTrump He is right AND has a right to speak his mind and voice his opinion He i ,Positive,allenholt jacobawohl realdonaldtrump speak mind voice opinion,1,0
 naomismallsduh was really in Halifax and I didn t go see her I m upset at myself smh,Negative,naomismallsduh halifax didn upset smh,0,2
Loving working with some amazing people in this production NurseRatched,Positive,loving amazing people production nurseratched,2,0
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
Corporate Product Manager Compact Equipment East Brandt Group of Companies The Halifax NS is currently s ,Negative,corporate product manager compact equipment brandt companies halifax currently,1,3
RT boonaamohammed Syrian refugee family in Halifax Canada all died in a house fire except the mom Please pray for them and support the ,Negative,boonaamohammed syrian refugee family halifax canada died house fire except mom please pray support,2,6
 AirCanada Hello I m going on a flight from Orlando Fl to Halifax NS Am I allowed to bring a long wand that has A ,Negative,aircanada hello flight orlando fl halifax allowed bring wand,0,2
A horrific tragedy that has made me feel so numb Inn lillahi wa inn ilayhi r ji n Prayers for the grieving sh ,Negative,horrific tragedy feel inn lillahi inn ilayhi ji prayers grieving,0,4
Faceoff view halifax halifaxmooseheads charlottetownislanders qmjhl hockey hockeyphotography sports canon ,Negative,faceoff view halifax halifaxmooseheads charlottetownislanders qmjhl hockey hockeyphotography sports canon,1,3
RT Tony Tracy The Fight for 15 amp Fairness campaign in Halifax FightFor15HFX to hold April 1st rally in response to StephenMcNeil s ,Neutral,tony tracy fight  amp fairness campaign halifax fightforhfx hold april st response stephenmcneil,2,2
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
Hey DAL DPMG members come and see us in the CHEB on Friday Take a break enjoy a nice hot beverage and catch up w ,Positive,dal dpmg cheb friday break enjoy nice hot beverage catch,4,2
Halifax are not ready for how busy I am next month,Negative,halifax busy month,0,1
RT eBayCanadaBiz Halifax small businesses February 22nd is your last chance to apply for our RetailRevival program 12 months of free ,Negative,ebaycanadabiz halifax businesses february nd chance apply retailrevival program  months free,2,3
Probably The Most Rev Dr James Butler s Catechism revised enlarged approved and recommended Twentieth editi ,Positive,probably rev dr james butler catechism revised enlarged approved recommended twentieth editi,4,1
7 Children in Syrian Refugee Family Die in Fire in Canada via NYTimes ,Negative, children syrian refugee family die fire canada via nytimes,0,2
RT sarahflemingNL Gut wrenching Unimaginable for the parents The ripple effect on the community the neighbours first responders jour ,Negative,sarahflemingnl gut wrenching unimaginable parents ripple effect community neighbours responders jour,1,2
RT LocalYokel Calderdale is there anything you could do to encourage private car park owners to clean up their act This is Matalan in ,Positive,localyokel calderdale encourage private car park owners clean matalan,4,1
RT TeamstersCanada D claration de Fran ois Laporte pr sident de Teamsters Canada sur la mort tragique de sept enfants dans une incendie ,Negative,teamsterscanada claration fran ois laporte sident teamsters canada mort tragique sept enfants dans une incendie,0,2
RT TeamstersCanada A statement from Fran ois Laporte President of Teamsters Canada on the tragic death of seven children in a Halifax ,Negative,teamsterscanada statement fran ois laporte president teamsters canada tragic death seven children halifax,0,4
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
RT JustinTrudeau Words fail when children are taken from us too soon especially in circumstances like this My heart goes out to the sur ,Negative,justintrudeau words fail children soon especially circumstances heart goes,0,4
Mmm ham pepperoni salami slices half price Lawton s Windsor amp North Sts Halifax NS decadentelicious ,Negative,mmm ham pepperoni salami slices half price lawton windsor amp north halifax decadentelicious,2,3
RT AndyFillmoreHFX Vigil for the Barho Family taking place at 7pm tonight February 20th at Grand Parade in Halifax Please spread ,Negative,andyfillmorehfx vigil barho family taking pm tonight february th grand parade halifax please spread,2,3
RT Peacebychoco We are partnering with Vandal Doughnuts to donate all the proceeds of sales to the beautiful hearted family affected with ,Positive,peacebychoco partnering vandal doughnuts donate proceeds sales beautiful hearted family affected,2,1
Mum had a few choices where to bring me up and she chose halifax what a arsehole,Negative,mum choices bring chose halifax arsehole,0,1
RT millypod1 JAKEY IS HOME THANKS FOR RT s nr Sandowns Road Cousins Lane Illingworth Halifax Yorkshire HX2 RUNNING SCARED PL ,Negative,millypod jakey home thanks nr sandowns road cousins lane illingworth halifax yorkshire hx running scared,2,6
 seugrof Dalino73 ihachey C est pas une raison si il y en travers le monde de dire des m chancet s sur ses pauv ,Negative,seugrof dalino ihachey pas une raison travers monde dire chancet pauv,1,4
RT VestsCanada This was just taken from the UnitedWeRoll FB page on a thread abt him going to Halifax Trudeau is apparently responsi ,Negative,vestscanada unitedweroll fb page thread abt halifax trudeau apparently responsi,0,2
Carpenter Nova Scotia Power Inc Dartmouth NS Scotia Power s greatest source of energy is our people In a cu ,Negative,carpenter nova scotia power dartmouth scotia power source energy people cu,0,2
RT liamstack They are from Raqqa which is one of the worst affected areas in Syria said an imam at a mosque the family attended The ,Negative,liamstack raqqa worst affected syria imam mosque family attended,0,1
RT RhondaBrown5 Status quo so far at Dartmouth High School still on lockdown HfxRegPolice continue to ask the public to stay away from ,Neutral,rhondabrown status quo dartmouth school lockdown hfxregpolice continue public stay,0,0
RT liberalbahrain RT CLSWESTINC Come join us in Halifax this June 24 28 2019 for the Leading Complex Systems e ,Negative,liberalbahrain clswestinc join halifax june    leading complex systems,2,4
Skip the dishes is taking over the Halifax Landscape The jury is still out on these guys ,Negative,skip dishes taking halifax landscape jury guys,0,1
Wnd SSE 14 km h Max 59 2 km h at 06 18 Dry T 8 2C Chill 13C H 7 4C L 13 9C Rn24h 0 0 mm DP 17 6C Hum ,Negative,wnd sse  km max   km   dry  c chill c  c  c rnh   mm dp  c hum,0,3
RT HaldEmerg Thoughts and prayers going out to all family friends and first responders at this tragic incident ,Negative,haldemerg prayers family friends responders tragic incident,0,2
